index,model_name,vocab_size,max_seq_length,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,10000,5,50,glove,glove.6B.50d,0.9155525,0.70994085,0.9821726999999999,0.70031583,1.0430427,0.67444664,0.6761461142436872,0.6761461142436872,0.6761461142436872,0.3971153424390545,0.3291505269636262,0.3971153424390545,0.6526587680897449,0.6761461142436872,0.6349444248427263
1,cnn,10000,5,50,glove,glove.6B.50d,0.91662836,0.7100072,0.98874754,0.7014640999999999,1.0321109,0.6713379,0.6724687423388085,0.6724687423388085,0.6724687423388085,0.3962124683431652,0.32412005541386824,0.3962124683431652,0.6383039153674482,0.6724687423388085,0.6356060256276899
2,cnn,10000,5,50,glove,glove.6B.50d,0.91820794,0.7099795999999999,0.97941816,0.7018515000000001,1.0547277,0.6669108,0.6683010541799461,0.6683010541799461,0.6683010541799461,0.4107671347258196,0.317663330042134,0.4107671347258196,0.6484199586596805,0.6683010541799461,0.6322597105657224
3,cnn,10000,5,50,glove,glove.6B.50d,0.91813105,0.7097356,0.9805733,0.7033343000000001,1.0509334,0.66743165,0.668546212306938,0.668546212306938,0.668546212306938,0.4139963676438248,0.2919665179799452,0.4139963676438248,0.6360381188438858,0.668546212306938,0.6251667572598434
4,cnn,10000,5,50,glove,glove.6B.50d,0.9153788,0.7101955,0.9860136999999999,0.7027975000000001,1.0435326999999999,0.67768556,0.6788428536405982,0.6788428536405982,0.6788428536405982,0.4178652123744278,0.32140886578630795,0.4178652123744278,0.6585707990123046,0.6788428536405982,0.6370578143810268
5,cnn,10000,5,50,glove,glove.6B.50d,0.91146576,0.7110663,0.98353684,0.7032876,1.0569235000000001,0.6788411999999999,0.6805589605295416,0.6805589605295416,0.6805589605295416,0.41820510833242797,0.3023250195962368,0.41820510833242797,0.6509284494009661,0.6805589605295416,0.6412977797402899
6,cnn,10000,5,50,glove,glove.6B.50d,0.91692245,0.71025354,0.9858124,0.7007733,1.0455686,0.67307943,0.6739396911007599,0.6739396911007599,0.6739396911007599,0.3766449857256292,0.29107318522291903,0.3766449857256292,0.643575097779145,0.6739396911007599,0.6362885870060148
7,cnn,10000,5,50,glove,glove.6B.50d,0.9149103999999999,0.71077776,0.983593,0.70292664,1.0419445999999999,0.67451173,0.6756557979897033,0.6756557979897033,0.6756557979897033,0.4490800319790635,0.3147736919408699,0.4490800319790635,0.6507618906825166,0.6756557979897033,0.6334206610145345
8,cnn,10000,5,50,glove,glove.6B.50d,0.91547716,0.7102646,0.98490936,0.6989871,1.0327027,0.66663414,0.6683010541799461,0.6683010541799461,0.6683010541799461,0.4039434092123668,0.2762631039279923,0.4039434092123668,0.6486119697229453,0.6683010541799461,0.6279437874843331
9,cnn,10000,5,50,glove,glove.6B.50d,0.9117656,0.71127903,0.9835739,0.7022825,1.0186336,0.67594403,0.6773719048786467,0.6773719048786467,0.6773719048786467,0.3914920589135487,0.3087331280844968,0.3914920589135487,0.6367907971664156,0.6773719048786467,0.6433417490033243
