index,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0,cnn,10000,128,True,100,glove,glove.840B.300d,0.77208716,0.75777686,0.85292137,0.746875,0.8944513000000001,0.7206543000000001,0.7219906839911743,0.7219906839911743,0.7219906839911743,0.4234216424388863,0.3704057316255385,0.4234216424388863,0.6932519792039297,0.7219906839911743,0.6943584647897905
1,cnn,10000,128,True,200,word2vec,GoogleNews-vectors-negative300,0.7897618000000001,0.75495297,0.85209537,0.7445505,0.91667145,0.7199219,0.7212552096101986,0.7212552096101986,0.7212552096101986,0.4472798873270847,0.3541775103949516,0.4472798873270847,0.6902501796046479,0.7212552096101986,0.6908347257523183
2,cnn,10000,128,True,200,word2vec,GoogleNews-vectors-negative300,0.79130185,0.7538151,0.8402912,0.7476545,0.9329866,0.7150715999999999,0.7161068889433685,0.7161068889433685,0.7161068889433685,0.4615316560823677,0.32659895642708103,0.4615316560823677,0.6914731785378925,0.7161068889433685,0.6866296059163679
3,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.7826661,0.75603616,0.85487837,0.7395001,0.9296007,0.72010094,0.7219906839911743,0.7219906839911743,0.7219906839911743,0.5291678683936221,0.3591988755932035,0.5291678683936221,0.7039305603516902,0.7219906839911743,0.6913656466375677
4,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.78163534,0.75604993,0.8621629000000001,0.7429005,0.9151543,0.7194335999999999,0.7207648933562147,0.7207648933562147,0.7207648933562146,0.40893810824055055,0.3274345938860917,0.40893810824055055,0.6946530046645963,0.7207648933562147,0.6916820885251994
5,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.7828339,0.7568074,0.8560114,0.7446602,0.9330322,0.70810544,0.7102230938955626,0.7102230938955626,0.7102230938955627,0.4274201001619221,0.3383597531703543,0.4274201001619221,0.6760678431649558,0.7102230938955626,0.6771515881147987
6,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.78123677,0.75603217,0.8524322,0.74650395,0.92259157,0.70276695,0.7045844569747487,0.7045844569747487,0.7045844569747487,0.4509025833909425,0.32728052859398665,0.4509025833909425,0.6753969418248924,0.7045844569747487,0.6754894249042529
7,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.7804246,0.75594217,0.8519053,0.74588543,0.88630766,0.72041017,0.7217455258641824,0.7217455258641824,0.7217455258641824,0.4546301413076693,0.3666490521924989,0.4546301413076693,0.6834716266874712,0.7217455258641824,0.6884290691884843
8,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.78353536,0.7550033,0.85472476,0.74367297,0.9013790999999999,0.7128418000000001,0.7141456239274332,0.7141456239274332,0.7141456239274332,0.42338862651887416,0.3653849840766223,0.42338862651887416,0.6757409777612582,0.7141456239274332,0.6816244708146417
9,cnn,10000,128,True,150,word2vec,GoogleNews-vectors-negative300,0.78068995,0.75632316,0.8422929,0.7448119000000001,0.90871954,0.7216634,0.72272615837215,0.72272615837215,0.7227261583721502,0.4566300418684413,0.3582550969393388,0.4566300418684413,0.6935137662605017,0.72272615837215,0.690913665337411
